  Node  id  | Distance | Name
 1128828456 | 14299.85 | Carrer de Múrcia
 1207693937 | 14433.10 | Carrer de Múrcia
  728705279 | 14489.92 | Carrer de Múrcia
 1134269198 | 15090.20 | Carrer de Múrcia
  885325448 | 15444.45 | Carrer de Múrcia
  885325394 | 15590.72 | Carrer d´Andorra
  728705265 | 15607.08 | Carrer d´Andorra
  728705249 | 15917.27 | Carrer d´Andorra;Avinguda del Progrés
  728705252 | 15926.98 | Avinguda del Progrès;Carrer d´Andorra
  728705264 | 16195.78 | Carrer del Torrent Fondo;Carrer d´Andorra
  409131085 | 16379.70 | Carrer d&apos;carrer de Rafael Casanova
  409153754 | 16506.93 | carrer de Rafael Casanova;carrer de Sant Jeroni
  409128584 | 16595.13 | Carretera del Prat de Llobregat;carrer de Rafael Casanova
  409128586 | 16669.62 | Carretera del Prat de Llobregat;carrer de Jaume Balmes
  211320731 | 16753.04 | Carretera del Prat de Llobregat;C. Manuel de Falla
  211320730 | 16813.85 | Carrer de Bertran i Musitu
  211319000 | 16880.69 | 
 1243858640 | 16885.61 | 
  211318998 | 16890.47 | 
 1243858629 | 16893.59 | 
 1243858639 | 16898.47 | 
  211318996 | 16903.35 | Passeig de la Marina
 1243858632 | 16908.46 | 
  211318994 | 16913.34 | 
 1243858625 | 16917.56 | 
  211318993 | 16922.44 | 
  607644344 | 16970.53 | 
 1134264293 | 17078.29 | Carrer de Sant Climent
  211317747 | 17100.79 | 
  243494580 | 17110.58 | carretera de la Vila
  211317745 | 17115.77 | 
 1187722456 | 17286.79 | Carrer Dr. Creixell
  211317743 | 17288.78 | 
 1512110626 | 17364.05 | Carrer Pi i Margall
  211317742 | 17399.04 | 
 1187334109 | 17404.72 | Carrer Sant Josep;Carrer del Noi del Sucre
  211317741 | 17660.65 | 
 1094296689 | 17777.98 | 
  211317738 | 17982.58 | 
  211313493 | 18111.00 | 
  211313834 | 18136.43 | 
  211311627 | 18159.12 | Avda. de la Generalitat
  211311629 | 18166.52 | 
  211311630 | 18180.72 | 
  211311632 | 18193.88 | 
  211310729 | 18205.59 | 
  211305825 | 18373.78 | 
  211305827 | 18383.09 | 
  211305829 | 18393.28 | Riera de Sant Llorenç
  211305830 | 18400.77 | 
  246811848 | 18403.53 | Riera de Sant Llorenç
  211305816 | 18409.26 | 
  211305818 | 18415.88 | 
  211307491 | 18424.86 | 
  211307492 | 18438.68 | Carretera Santa Creu de Calafell
  246171826 | 18503.27 | Carretera Santa Creu de Calafell;Carrer de Víctor Balaguer
  211304834 | 18591.70 | Carretera Santa Creu de Calafell;Av. del Mas Sellarès
  246171457 | 18636.01 | Carretera Santa Creu de Calafell;Carrer de Sarrià
  245492231 | 18657.90 | Carretera Santa Creu de Calafell
  245474630 | 18713.44 | Carretera Santa Creu de Calafell;Rambla Salvador Lluch
  245944607 | 18722.75 | Carretera Santa Creu de Calafell;Rambla de Joaquim Vayreda
  211303847 | 18729.33 | Carretera Santa Creu de Calafell;Rambla Salvador Lluch
  246171005 | 18803.90 | Carretera Santa Creu de Calafell;Carrer de Vika i Vilà
  245475583 | 18850.43 | Carretera Santa Creu de Calafell
  246171358 | 18891.07 | Carretera Santa Creu de Calafell;Carrer d&apos;Antoni Rovira i Virgili
  245475550 | 18946.22 | Carretera Santa Creu de Calafell;Carrer de Francesc Rius i Taulet
  206990387 | 19018.77 | Carretera Santa Creu de Calafell
  245433476 | 19024.27 | Carrer de Fortià Casanovas
  206990388 | 19032.28 | 
  245432883 | 19089.07 | Carrer d&apos;Àngela Roca
  206990390 | 19095.81 | 
  206990381 | 19102.67 | Ctra. de Santa Creu de Calafell
  245475335 | 19111.60 | Ctra. de Santa Creu de Calafell
 1289850420 | 19125.09 | Ctra. de Santa Creu de Calafell
 1289850412 | 19142.31 | Carrer de l&apos;American Lake
 1289850414 | 19188.10 | Carrer d&apos;Olocau
 1289850411 | 19298.02 | 
  206956376 | 19309.99 | Ctra. de Santa Creu de Calafell;Carrer Riera de les Parets
  206956375 | 19439.36 | Ctra. de Santa Creu de Calafell
  206983472 | 19510.26 | 
  206982166 | 19531.03 | 
 1360105045 | 19536.31 | 
 1360105040 | 19541.58 | 
  206982165 | 19545.69 | 
 1360105039 | 19550.96 | 
  213113940 | 19557.62 | 
  206982164 | 19561.13 | 
  213113337 | 19588.85 | 
  206956109 | 19612.87 | 
  206956108 | 19693.74 | 
  206956107 | 19823.55 | 
  206979069 | 19893.59 | 
  206977119 | 19936.38 | 
  206977766 | 19947.60 | 
  206981002 | 19956.27 | 
  206977115 | 19959.23 | 
  206979400 | 20008.61 | 
  206955874 | 20057.38 | 
  206955872 | 20289.62 | 
  206955871 | 20492.98 | 
  210394648 | 20781.28 | 
  210395655 | 20833.51 | 
  206955868 | 21212.18 | 
  247041497 | 21219.49 | Paseo de la Habana Vieja
  247041407 | 21230.71 | 
  247042054 | 21237.82 | Paseo de la Habana Vieja
  247041498 | 21241.67 | 
  247041389 | 21253.89 | Avinguda de la Constitució
  206974638 | 21464.79 | Avinguda de la Constitució
  206975782 | 21471.61 | 
  206974637 | 21480.27 | 
  206975780 | 21489.89 | 
  206954251 | 21498.76 | Avinguda de la Constitució
  206954250 | 21662.07 | Avinguda de la Constitució
  247041720 | 21666.27 | Avinguda de la Constitució;Carrer de Narcis Monturiol
  206954014 | 21709.84 | Avinguda de la Constitució
  247042761 | 21741.75 | 
  206953164 | 21768.70 | 
  206953165 | 21801.98 | 
  206953166 | 21823.38 | 
  206953167 | 21843.16 | Avinguda de Manuel Girona
  206953168 | 21858.24 | 
  206953169 | 21876.53 | 
  211149838 | 21922.06 | Avinguda de la Constitució
  248547577 | 21934.20 | Avinguda de la Constitució
  211150929 | 22064.04 | Avinguda de la Constitució;Plaça de l&apos;Esperanto
  248547597 | 22133.52 | Avinguda de la Constitució;Plaça de l&apos;Esperanto
  211150932 | 22252.25 | Avinguda de la Constitució;Carrer d&apos;Albert Einstein
  211154077 | 22353.09 | Avinguda de la Constitució
  211153271 | 22360.57 | 
  211154078 | 22367.34 | Plaça de Pau Casals
  211153275 | 22375.74 | Plaça de Pau Casals
  211154083 | 22382.50 | Avinguda de la Constitució
  211172851 | 22402.77 | Avinguda de la Constitució
  248452978 | 22556.73 | Avinguda de la Constitució
  248452986 | 22644.56 | Avinguda de la Constitució;Carrer del Doctor Trueta
  211160777 | 22719.72 | Avinguda de la Constitució;Calle del Doctor Ferrán
  211234762 | 22790.03 | Avinguda de la Constitució;Carrer del Doctor Fleming
  211223728 | 22887.04 | Avinguda de la Constitució;Avinguda 300
  248452541 | 23015.24 | Avinguda de la Constitució;Avinguda 301
  248452955 | 23031.36 | Avinguda de la Constitució
  211172852 | 23048.17 | Avinguda de la Constitució
 1534071086 | 23093.58 | Avinguda de la Constitució
 1534071084 | 23107.12 | Avinguda de la Constitució
 1534071082 | 23116.70 | Avinguda 302;Avinguda de la Constitució
 1534071078 | 23211.88 | Avinguda 303;Avinguda de la Constitució
 1534071107 | 23307.22 | Avinguda 304;Avinguda de la Constitució
 1534071071 | 23317.54 | Avinguda de la Constitució
 1534071073 | 23324.38 | Avinguda de la Constitució
 1534071092 | 23331.22 | Avinguda de la Constitució
  211179440 | 23499.98 | Avinguda de la Constitució
  211172853 | 23539.54 | Avinguda de la Constitució
  211172854 | 23643.73 | Avinguda de la Constitució
  214978192 | 23876.39 | Avinguda de la Constitució
  211172856 | 23909.15 | Avinguda de la Constitució
  214978264 | 23967.54 | Avinguda de la Constitució
  211172859 | 24008.06 | Avinguda de la Constitució
  211172860 | 24042.73 | Avinguda de la Constitució
  211172862 | 24091.80 | Avinguda de la Constitució
  211174921 | 24111.50 | 
  211173776 | 24133.45 | 
  211173777 | 24145.27 | 
  211173778 | 24154.93 | 
  211173780 | 24162.25 | 
  211173781 | 24171.12 | 
  211178602 | 24182.09 | 
  211177750 | 24199.37 | 
  211177752 | 24225.74 | 
  211177755 | 24262.80 | 
  211177756 | 24317.36 | 
  211177757 | 24365.12 | 
  211177759 | 24478.54 | Carrer de la Raconada
  211177760 | 24597.39 | 
  482653167 | 24609.05 | 
  211177762 | 24673.70 | 
  482684503 | 24915.68 | 
  482684733 | 24939.29 | 
  475231334 | 24954.58 | 
  475231339 | 25115.80 | 
  475231343 | 25317.79 | 
  482667627 | 25525.24 | 
  482667756 | 25725.90 | 
  475231346 | 25925.57 | 
  532328107 | 26075.58 | 
  475231349 | 26168.85 | 
  928249182 | 26227.57 | 
  475231351 | 26361.96 | 
  928261617 | 26457.28 | 
  475231354 | 26497.31 | 
  475231355 | 26530.11 | 
  475231356 | 26559.02 | 
  532326833 | 26627.63 | 
  475231357 | 26645.36 | 
  528930006 | 26836.11 | 
  475231359 | 26951.73 | 
  475231360 | 27012.25 | 
  475231361 | 27062.39 | 
  475231379 | 27233.20 | 
  321825741 | 27284.01 | 
  279746480 | 27397.97 | 
  279746481 | 27907.94 | 
  529677968 | 28011.32 | 
  529677967 | 28117.03 | 
  529677965 | 28222.64 | 
  529677962 | 28424.39 | 
  529677960 | 28892.26 | 
  528908122 | 29449.46 | 
  279746482 | 29540.31 | 
  528908118 | 29637.23 | 
  279746483 | 29731.58 | 
  528908123 | 29906.30 | 
  279746484 | 29966.33 | 
  386775304 | 30527.62 | 
 1125509489 | 30563.29 | 
 1125509603 | 30594.11 | 
  529677953 | 30625.85 | 
 1125509530 | 30662.87 | 
  279746485 | 30700.40 | 
 1125509555 | 30734.18 | 
 1125509452 | 30769.96 | 
  529677948 | 30840.64 | 
 1125509476 | 30869.04 | 
  529677951 | 30897.81 | 
 1125509608 | 30932.52 | 
  279746486 | 30968.44 | 
 1125509512 | 31007.27 | 
  279746487 | 31048.71 | 
  529677936 | 32726.86 | 
  529677943 | 32872.94 | 
  529677939 | 32923.60 | 
  279746488 | 33023.92 | 
  529677932 | 33139.79 | 
  279746489 | 33255.86 | 
  529677929 | 33371.57 | 
  529677926 | 33487.80 | 
  529677922 | 33638.30 | 
  529677924 | 33713.77 | 
  279746490 | 33788.81 | 
  529677915 | 33895.68 | 
  279746491 | 34017.33 | 
  529677919 | 34084.79 | 
  279746492 | 34166.30 | 
  279746493 | 34554.46 | 
  529677907 | 34826.59 | 
  279746494 | 35012.96 | 
  529677896 | 35119.84 | 
  279746495 | 35241.84 | 
  324733201 | 36468.27 | Autopista Pau Casals
  279746496 | 36651.39 | Autopista Pau Casals
  300008641 | 36853.39 | Autopista Pau Casals
  529677901 | 36933.25 | Autopista Pau Casals
  279746497 | 37014.80 | Autopista Pau Casals
  529677894 | 37087.40 | Autopista Pau Casals
  671533477 | 37124.78 | Autopista Pau Casals
  300008671 | 37185.17 | Autopista Pau Casals
  671533469 | 37287.44 | Autopista Pau Casals
  300008640 | 37380.57 | Autopista Pau Casals
  279746498 | 37466.25 | Autopista Pau Casals
  383894523 | 37540.91 | Autopista Pau Casals
  383894524 | 37633.05 | Autopista Pau Casals
  383894525 | 37739.77 | Autopista Pau Casals
  300008639 | 37926.19 | Autopista Pau Casals
  529677863 | 38110.50 | Autopista Pau Casals
  279746499 | 38178.18 | Autopista Pau Casals
  529677878 | 38431.46 | Autopista Pau Casals
  383894522 | 38456.96 | Autopista Pau Casals
  529677875 | 38505.34 | Autopista Pau Casals
  279746500 | 38625.11 | Autopista Pau Casals
  279746501 | 38994.81 | Autopista Pau Casals
  384344926 | 39178.11 | Autopista Pau Casals
  279746502 | 39335.83 | Autopista Pau Casals
  384344924 | 39521.34 | Autopista Pau Casals
 1117810994 | 39575.02 | Autopista Pau Casals
 1117810987 | 39614.55 | Autopista Pau Casals
 1117811213 | 39659.99 | Autopista Pau Casals
  279746503 | 39705.22 | Autopista Pau Casals
 1117811034 | 39763.34 | Autopista Pau Casals
 1117810796 | 39822.54 | Autopista Pau Casals
 1117810810 | 39881.16 | Autopista Pau Casals
 1117811249 | 39909.79 | Autopista Pau Casals
  279746504 | 39938.88 | Autopista Pau Casals
 1117811016 | 39982.52 | Autopista Pau Casals
